[ 3021.012392] configfs-gadget.g1 gadget.0: uvc: [DEBUG] prep_requests: imagesize=460800 req_size=21504 nreqs=245 reqs_per_frame=213
[ 3032.628472] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28375 us (35.2 fps) queued=32
[ 3032.661038] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32566 us (30.7 fps) queued=32
[ 3032.701396] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40358 us (24.7 fps) queued=32
[ 3032.732348] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30950 us (32.3 fps) queued=32
[ 3032.764616] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32268 us (30.9 fps) queued=33
[ 3032.793072] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28454 us (35.1 fps) queued=32
[ 3032.835009] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=41936 us (23.8 fps) queued=31
[ 3032.867428] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32419 us (30.8 fps) queued=31
[ 3032.896579] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29151 us (34.3 fps) queued=29
[ 3032.928009] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31429 us (31.8 fps) queued=32
[ 3032.968502] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=40491 us (24.6 fps) queued=31
[ 3033.009641] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=41140 us (24.3 fps) queued=31
[ 3033.043989] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34347 us (29.1 fps) queued=31
[ 3033.076897] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32908 us (30.3 fps) queued=31
[ 3033.111477] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34580 us (28.9 fps) queued=31
[ 3033.146236] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34758 us (28.7 fps) queued=32
